county_name,state_code,district_code
"Chesapeake City",VA,VAE
Cheshire,NH,NHX
Chester,PA,PAE
Chester,SC,SCX
Chester,TN,TNW
Chesterfield,SC,SCX
Chesterfield,VA,VAE
Cheyenne,CO,COX
Cheyenne,KS,KSX
Cheyenne,NE,NEX
Chickasaw,IA,IAN
Chickasaw,MS,MSN
Chicot,AR,ARE
Childress,TX,TXN
Chilton,AL,ALM
Chippewa,MI,MIW
Chippewa,MN,MNX
Chippewa,WI,WIW
Chisago,MN,MNX
Chittenden,VT,VTX
Choctaw,AL,ALS
Choctaw,MS,MSN
Choctaw,OK,OKE
Chouteau,MT,MTX
Chowan,NC,NCE
Christian,IL,ILC
Christian,KY,KYW
Christian,MO,MOW
Churchill,NV,NVX
Cibola,NM,NMX
Cimarron,OK,OKW
Citrus,FL,FLM
Clackamas,OR,ORX
Claiborne,LA,LAW
Claiborne,MS,MSS
Claiborne,TN,TNE
Clallam,WA,WAW
Clare,MI,MIE
Clarendon,SC,SCX
Clarion,PA,PAW
Clark,AR,ARW
Clark,ID,IDX
Clark,IL,ILS
Clark,IN,INS
Clark,KS,KSX
Clark,KY,KYE
Clark,MO,MOE
Clark,NV,NVX
Clark,OH,OHS
Clark,SD,SDX
Clark,WA,WAW
Clark,WI,WIW
Clarke,AL,ALS
Clarke,GA,GAM
Clarke,IA,IAS
Clarke,MS,MSS
Clarke,VA,VAW
Clatsop,OR,ORX
Clay,AL,ALN
Clay,AR,ARE
Clay,FL,FLM
Clay,GA,GAM
Clay,IA,IAN
Clay,IL,ILS
Clay,IN,INS
Clay,KS,KSX
Clay,KY,KYE
Clay,MN,MNX
Clay,MO,MOW
Clay,MS,MSN
Clay,NC,NCW
Clay,NE,NEX
Clay,SD,SDX
Clay,TN,TNM
Clay,TX,TXN
Clay,WV,WVS
Clayton,GA,GAN
Clayton,IA,IAN
"Clear Creek",CO,COX
Clearfield,PA,PAW
Clearwater,ID,IDX
Clearwater,MN,MNX
Cleburne,AL,ALN
Cleburne,AR,ARE
Clermont,OH,OHS
Cleveland,AR,ARE
Cleveland,NC,NCW
Cleveland,OK,OKW
"Clifton Forge City",VA,VAW
Clinch,GA,GAM
Clinton,IA,IAS
Clinton,IL,ILS
Clinton,IN,INS
Clinton,KY,KYW
Clinton,MI,MIW
Clinton,MO,MOW
Clinton,NY,NYN
Clinton,OH,OHS
Clinton,PA,PAM
Cloud,KS,KSX
Coahoma,MS,MSN
Coal,OK,OKE
Cobb,GA,GAN
Cochise,AZ,AZX
Cochran,TX,TXN
Cocke,TN,TNE
Coconino,AZ,AZX
Codington,SD,SDX
Coffee,AL,ALM
Coffee,GA,GAS
Coffee,TN,TNE
